Fund_ID,Conservation_ID,Source_Name,Amount_IDR,Date_Funded
F001,C001,Yayasan Hijau,50000000,2024-01-18
F002,C002,Danais Hutan,75000000,2024-02-13
F003,C003,LPKSM,30000000,2024-03-08
F004,C004,Kementerian LHK,60000000,2024-04-23
F005,C005,Pemda Aceh,45000000,2024-05-15
F006,C006,UNDP Indonesia,80000000,2024-06-21
F007,C007,Yayasan Hijau,35000000,2024-07-06
F008,C008,Danais Hutan,40000000,2024-08-28
F009,C009,LPKSM,55000000,2024-09-13
F010,C010,Kementerian LHK,70000000,2024-10-18
F011,C011,Pemda Kalimantan,45000000,2024-11-23
F012,C012,UNDP Indonesia,60000000,2024-12-28
F013,C013,Yayasan Hijau,50000000,2025-01-13
F014,C014,Danais Hutan,75000000,2025-02-18
F015,C015,LPKSM,30000000,2025-03-23
F016,C016,Kementerian LHK,65000000,2025-04-28
F017,C017,Pemda Jawa,40000000,2025-06-02
F018,C018,UNDP Indonesia,55000000,2025-06-08
F019,C019,Yayasan Hijau,70000000,2025-07-13
F020,C020,Danais Hutan,45000000,2025-07-26
