Bio_ID,Conservation_ID,Species_Count,Tree_Density,Water_Quality,Assessment_Date
B101,C001,15,200,Good,2024-01-22
B102,C002,18,250,Moderate,2024-02-17
B103,C003,12,180,Poor,2024-03-12
B104,C004,20,220,Good,2024-04-27
B105,C005,14,190,Moderate,2024-05-19
B106,C006,22,260,Good,2024-06-25
B107,C007,13,170,Moderate,2024-07-10
B108,C008,16,200,Good,2024-08-31
B109,C009,19,230,Poor,2024-09-17
B110,C010,21,240,Good,2024-10-22
B111,C011,15,190,Moderate,2024-11-27
B112,C012,18,210,Good,2024-12-31
B113,C013,14,200,Good,2025-01-17
B114,C014,20,250,Moderate,2025-02-22
B115,C015,12,180,Poor,2025-03-27
B116,C016,19,230,Good,2025-05-01
B117,C017,16,200,Moderate,2025-06-06
B118,C018,21,220,Good,2025-06-12
B119,C019,17,240,Good,2025-07-17
B120,C020,15,190,Moderate,2025-07-27
B121,C021,18,210,Good,2025-08-05
B122,C022,14,200,Moderate,2025-08-20
B123,C023,20,230,Good,2025-09-05
B124,C024,16,190,Poor,2025-09-20
B125,C025,19,220,Good,2025-10-05
B126,C026,15,200,Moderate,2025-10-20
B127,C027,17,210,Good,2025-11-05
B128,C028,21,240,Good,2025-11-20
B129,C029,14,190,Moderate,2025-12-05
B130,C030,18,220,Good,2025-12-20
