"conservation_id","partisipasi_relatif","frekuensi_kegiatan","total_manfaat","engagement_date","area_ha","carbon_credits","biodiversity_record_date"
"C001","0.92592592592592592593","1","5000000","2024-01-25",50,250,"2024-01-15"
"C002","0.74074074074074074074","1","7500000","2024-02-20",75,370,"2024-02-10"
"C003","1.1111111111111111","1","3000000","2024-03-15",30,150,"2024-03-05"
"C004","1.3888888888888889","1","6000000","2024-04-30",60,300,"2024-04-20"
"C005","0.83333333333333333333","1","4500000","2024-05-22",45,220,"2024-05-12"
"C006","1.0185185185185185","1","8000000","2024-06-28",80,400,"2024-06-18"
"C007","0.92592592592592592593","1","3500000","2024-07-13",35,170,"2024-07-03"
"C008","0.74074074074074074074","1","4000000","2024-09-04",40,200,"2024-08-25"
"C009","1.2037037037037037","1","5500000","2024-09-20",55,270,"2024-09-10"
"C010","1.1111111111111111","1","7000000","2024-10-25",70,350,"2024-10-15"
"C011","0.92592592592592592593","1","4500000","2024-11-30",45,225,"2024-11-20"
"C012","1.0185185185185185","1","6000000","2025-01-04",60,300,"2024-12-25"
"C013","1.2962962962962963","1","5000000","2025-01-20",50,250,"2025-01-10"
"C014","0.83333333333333333333","1","7500000","2025-02-25",75,375,"2025-02-15"
"C015","1.1111111111111111","1","3000000","2025-03-30",30,150,"2025-03-20"
"C016","0.92592592592592592593","1","6500000","2025-05-05",65,325,"2025-04-25"
"C017","0.74074074074074074074","1","4000000","2025-06-10",40,200,"2025-05-30"
"C018","1.0185185185185185","1","5500000","2025-06-15",55,275,"2025-06-05"
"C019","1.2037037037037037","1","7000000","2025-07-20",70,350,"2025-07-10"
"C020","0.92592592592592592593","1","4500000","2025-07-30",45,225,"2025-07-26"
"C021","1.1111111111111111","1","5000000","2025-08-10",NULL,NULL,NULL
"C022","0.83333333333333333333","1","6000000","2025-08-25",NULL,NULL,NULL
"C023","1.0185185185185185","1","7500000","2025-09-10",NULL,NULL,NULL
"C024","0.92592592592592592593","1","3000000","2025-09-25",NULL,NULL,NULL
"C025","1.1111111111111111","1","6500000","2025-10-10",NULL,NULL,NULL
"C026","0.74074074074074074074","1","4000000","2025-10-25",NULL,NULL,NULL
"C027","1.0185185185185185","1","5500000","2025-11-10",NULL,NULL,NULL
"C028","1.2037037037037037","1","7000000","2025-11-25",NULL,NULL,NULL
"C029","0.92592592592592592593","1","4500000","2025-12-10",NULL,NULL,NULL
"C030","1.1111111111111111","1","5000000","2025-12-25",NULL,NULL,NULL
